Caso,DescDoenca,area_damaged,canker_lesion,crop_hist,date,external decay,fruit spots,fruiting_bodies,fruit_pods,germination,hail,int_discolor,leaf_malf,leaf_mild,leaf_shread,leafspots_halo,leafspot_size,leafspots_marg,leaves,lodging,mold_growth,mycelium,plant_growth,plant_stand,precip,roots,sclerotia,seed,seed_discolor,seed_size,seed_tmt,severity,shriveling,stem,stem_cankers,temp
1,diaporthe_stem_canker,low_areas,Brown,same_1st_yr,Outubro,firm_and_dry,dna,Present,Norm,90_100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Above_sec_nde,norm
2,diaporthe_stem_canker,scattered,Brown,same_lst_two_yrs,Agosto,firm_and_dry,dna,Present,Norm,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above_sec_nde,norm
3,diaporthe_stem_canker,scattered,dna,same_1st_yr,Julho,firm_and_dry,dna,Present,Norm,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above_sec_nde,norm
4,diaporthe_stem_canker,scattered,dna,same_1st_yr,Julho,firm_and_dry,dna,Present,Norm,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,Above_sec_nde,norm
5,diaporthe_stem_canker,scattered,Brown,same_lst_two_yrs,Outubro,firm_and_dry,dna,Present,Norm,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Above_sec_nde,norm
6,diaporthe_stem_canker,scattered,dna,same_lst_sev_yrs,Setembro,firm_and_dry,dna,Present,Norm,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Above_sec_nde,norm
7,diaporthe_stem_canker,scattered,Brown,same_lst_two_yrs,Setembro,firm_and_dry,dna,Present,Norm,90_100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Above_sec_nde,norm
8,diaporthe_stem_canker,scattered,Brown,same_1st_yr,Agosto,firm_and_dry,dna,Present,Norm,lt_80%,No,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Above_sec_nde,norm
9,diaporthe_stem_canker,scattered,Brown,same_lst_sev_yrs,Outubro,firm_and_dry,dna,Present,Norm,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Above_sec_nde,norm
10,diaporthe_stem_canker,scattered,Brown,same_lst_two_yrs,Agosto,firm_and_dry,dna,Present,Norm,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,Above_sec_nde,norm
11,charcoal_rot,whole_field,tan,same_1st_yr,Outubro,Absent,dna,Absent,Norm,90_100%,Yes,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt_normal,Norm,Present,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,gt_norm
12,charcoal_rot,whole_field,tan,same_1st_yr,Agosto,Absent,dna,Absent,Norm,80_89%,No,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,Normal,lt_normal,Norm,Present,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,norm
13,charcoal_rot,upper_areas,tan,same_1st_yr,Julho,Absent,dna,Absent,Norm,90_100%,Yes,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt_normal,Norm,Present,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Absent,norm
14,charcoal_rot,whole_field,tan,same_lst_sev_yrs,Outubro,Absent,dna,Absent,Norm,90_100%,No,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt_normal,Norm,Present,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,norm
15,charcoal_rot,whole_field,tan,same_1st_yr,Outubro,Absent,dna,Absent,Norm,80_89%,Yes,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt_normal,Norm,Present,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,gt_norm
16,charcoal_rot,whole_field,tan,same_lst_sev_yrs,Setembro,Absent,dna,Absent,Norm,lt_80%,No,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt_normal,Norm,Present,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,gt_norm
17,charcoal_rot,upper_areas,tan,diff_1st_year,Outubro,Absent,dna,Absent,Norm,90_100%,No,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,Normal,lt_normal,Norm,Present,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Absent,gt_norm
18,charcoal_rot,upper_areas,tan,same_lst_two_yrs,Agosto,Absent,dna,Absent,Norm,80_89%,Yes,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt_normal,Norm,Present,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Absent,norm
19,charcoal_rot,upper_areas,tan,same_lst_two_yrs,Julho,Absent,dna,Absent,Norm,lt_80%,Yes,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt_normal,Norm,Present,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Absent,gt_norm
20,charcoal_rot,upper_areas,tan,same_lst_two_yrs,Setembro,Absent,dna,Absent,Norm,lt_80%,No,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt_normal,Norm,Present,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Absent,gt_norm
21,rhizoctonia_root_rot,low_areas,Brown,same_lst_two_yrs,Maio,firm_and_dry,dna,Absent,dna,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Present,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below_soil,lt_norm
22,rhizoctonia_root_rot,low_areas,Brown,same_1st_yr,Maio,firm_and_dry,dna,Absent,dna,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below_soil,lt_norm
23,rhizoctonia_root_rot,low_areas,Brown,same_lst_sev_yrs,Julho,firm_and_dry,dna,Absent,dna,80_89%,No,None,Absent,Absent,absent,absent,dna,dna,Norm,No,Absent,Present,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below_soil,lt_norm
24,rhizoctonia_root_rot,low_areas,Brown,diff_1st_year,Abril,firm_and_dry,dna,Absent,dna,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,below_soil,lt_norm
25,rhizoctonia_root_rot,low_areas,Brown,same_1st_yr,Abril,firm_and_dry,dna,Absent,dna,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,below_soil,lt_norm
26,rhizoctonia_root_rot,low_areas,Brown,same_lst_sev_yrs,Maio,firm_and_dry,dna,Absent,dna,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below_soil,lt_norm
27,rhizoctonia_root_rot,low_areas,Brown,diff_1st_year,Maio,firm_and_dry,dna,Absent,dna,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,below_soil,lt_norm
28,rhizoctonia_root_rot,low_areas,Brown,same_lst_two_yrs,Junho,firm_and_dry,dna,Absent,dna,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,below_soil,lt_norm
29,rhizoctonia_root_rot,low_areas,Brown,same_1st_yr,Maio,firm_and_dry,dna,Absent,dna,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below_soil,lt_norm
30,rhizoctonia_root_rot,low_areas,Brown,same_1st_yr,Junho,firm_and_dry,dna,Absent,dna,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below_soil,lt_norm
31,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Abril,firm_and_dry,dna,Absent,dna,90_100%,No,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,below_soil,norm
32,phytophthora_rot,low_areas,dk_brown_blk,same_lst_sev_yrs,Maio,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_soil,norm
33,phytophthora_rot,low_areas,dk_brown_blk,same_lst_two_yrs,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_sec_nde,gt_norm
34,phytophthora_rot,low_areas,dk_brown_blk,same_lst_two_yrs,Maio,Absent,dna,Absent,dna,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above_soil,lt_norm
35,phytophthora_rot,low_areas,dk_brown_blk,same_lst_two_yrs,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_soil,gt_norm
36,phytophthora_rot,low_areas,dk_brown_blk,same_lst_two_yrs,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_sec_nde,norm
37,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Abril,Absent,dna,Absent,dna,90_100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,Normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,below_soil,norm
38,phytophthora_rot,low_areas,dk_brown_blk,same_lst_two_yrs,Julho,Absent,dna,Absent,dna,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above_soil,lt_norm
39,phytophthora_rot,low_areas,dk_brown_blk,diff_1st_year,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,Normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_soil,norm
40,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Junho,Absent,dna,Absent,dna,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below_soil,lt_norm
41,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_soil,norm
42,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Maio,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,below_soil,norm
43,phytophthora_rot,low_areas,dk_brown_blk,same_lst_sev_yrs,Abril,Absent,dna,Absent,dna,90_100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,below_soil,norm
44,phytophthora_rot,low_areas,dk_brown_blk,same_lst_two_yrs,Abril,firm_and_dry,dna,Absent,dna,90_100%,No,None,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,lt_normal,Normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above_soil,norm
45,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Julho,Absent,dna,Absent,dna,90_100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above_soil,lt_norm
46,phytophthora_rot,low_areas,dk_brown_blk,same_lst_sev_yrs,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_sec_nde,gt_norm
47,phytophthora_rot,low_areas,dk_brown_blk,same_lst_two_yrs,Abril,Absent,dna,Absent,dna,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,below_soil,norm
48,phytophthora_rot,low_areas,dk_brown_blk,same_lst_two_yrs,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,Normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_soil,gt_norm
49,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Junho,firm_and_dry,dna,Absent,dna,lt_80%,No,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below_soil,norm
50,phytophthora_rot,low_areas,dk_brown_blk,same_lst_sev_yrs,Abril,Absent,dna,Absent,dna,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,below_soil,norm
51,phytophthora_rot,low_areas,dk_brown_blk,diff_1st_year,Maio,Absent,dna,Absent,dna,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above_soil,norm
52,phytophthora_rot,low_areas,dk_brown_blk,diff_1st_year,Maio,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,below_soil,norm
53,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_sec_nde,norm
54,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_sec_nde,norm
55,phytophthora_rot,low_areas,dk_brown_blk,same_lst_two_yrs,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_soil,gt_norm
56,phytophthora_rot,low_areas,dk_brown_blk,same_lst_sev_yrs,Maio,firm_and_dry,dna,Absent,dna,80_89%,No,None,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below_soil,norm
57,phytophthora_rot,low_areas,dk_brown_blk,same_lst_sev_yrs,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,Normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_soil,norm
58,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_soil,gt_norm
59,phytophthora_rot,low_areas,dk_brown_blk,same_lst_two_yrs,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,Normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_soil,gt_norm
