Caso,DescDoenca,area_damaged,canker_lesion,crop_hist,date,external decay,fruit spots,fruiting_bodies,fruit_pods,germination,hail,int_discolor,leaf_malf,leaf_mild,leaf_shread,leafspots_halo,leafspot_size,leafspots_marg,leaves,lodging,mold_growth,mycelium,plant_growth,plant_stand,precip,roots,sclerotia,seed,seed_discolor,seed_size,seed_tmt,severity,shriveling,stem,stem_cankers,temp
60,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Maio,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,below_soil,gt_norm
61,phytophthora_rot,low_areas,dk_brown_blk,same_lst_sev_yrs,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_soil,gt_norm
62,phytophthora_rot,low_areas,dk_brown_blk,diff_1st_year,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,Normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_sec_nde,norm
63,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Junho,Absent,dna,Absent,dna,90_100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below_soil,lt_norm
64,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,Normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_sec_nde,norm
65,phytophthora_rot,low_areas,dk_brown_blk,same_1st_yr,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,below_soil,gt_norm
66,phytophthora_rot,low_areas,dk_brown_blk,diff_1st_year,Maio,Absent,dna,Absent,dna,90_100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above_soil,lt_norm
67,phytophthora_rot,low_areas,dk_brown_blk,same_lst_two_yrs,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_soil,norm
68,phytophthora_rot,low_areas,dk_brown_blk,same_lst_sev_yrs,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_sec_nde,norm
69,phytophthora_rot,low_areas,dk_brown_blk,same_lst_two_yrs,Julho,Absent,dna,Absent,dna,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,Normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above_soil,lt_norm
70,phytophthora_rot,low_areas,dk_brown_blk,same_lst_two_yrs,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt_normal,gt_normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above_sec_nde,gt_norm
71,brown_stem_rot,whole_field,dna,same_1st_yr,Agosto,Absent,Absent,Absent,Norm,lt_80%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,norm
72,brown_stem_rot,whole_field,dna,same_1st_yr,Agosto,Absent,Absent,Absent,Norm,lt_80%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,norm
73,brown_stem_rot,scattered,tan,same_lst_sev_yrs,Julho,Absent,dna,Absent,Norm,lt_80%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt_normal,lt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,lt_norm
74,brown_stem_rot,whole_field,dna,same_1st_yr,Setembro,Absent,Absent,Absent,Norm,lt_80%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,gt_norm
75,brown_stem_rot,whole_field,dna,same_lst_two_yrs,Setembro,Absent,Absent,Absent,Norm,80_89%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,gt_norm
76,brown_stem_rot,upper_areas,dna,same_lst_sev_yrs,Agosto,Absent,Absent,Absent,Norm,80_89%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Absent,norm
77,brown_stem_rot,whole_field,tan,same_lst_sev_yrs,Setembro,Absent,dna,Absent,Norm,lt_80%,No,Brown,Absent,Absent,absent,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,No,Absent,Absent,Abnorm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Absent,norm
78,brown_stem_rot,scattered,tan,same_lst_two_yrs,Outubro,Absent,dna,Absent,Norm,90_100%,No,Brown,Absent,Absent,absent,absent,gt_1/8,dna,Norm,No,Absent,Absent,Abnorm,Normal,Normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,norm
79,brown_stem_rot,upper_areas,tan,same_lst_sev_yrs,Setembro,Absent,dna,Absent,Norm,90_100%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,lt_normal,lt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Absent,lt_norm
80,brown_stem_rot,whole_field,tan,same_1st_yr,Setembro,Absent,dna,Absent,Norm,90_100%,Yes,Brown,Absent,Absent,absent,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,No,Absent,Absent,Abnorm,lt_normal,lt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,norm
81,brown_stem_rot,whole_field,tan,same_lst_two_yrs,Agosto,Absent,dna,Absent,Norm,lt_80%,No,Brown,Absent,Absent,absent,absent,dna,dna,Norm,No,Absent,Absent,Abnorm,Normal,Normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,lt_norm
82,brown_stem_rot,upper_areas,tan,same_lst_sev_yrs,Agosto,Absent,dna,Absent,Norm,80_89%,Yes,Brown,Absent,Absent,absent,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,No,Absent,Absent,Abnorm,lt_normal,lt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,lt_norm
83,brown_stem_rot,scattered,dna,same_lst_two_yrs,Agosto,Absent,Absent,Absent,Norm,90_100%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,norm
84,brown_stem_rot,scattered,tan,same_lst_two_yrs,Julho,Absent,dna,Absent,Norm,80_89%,Yes,Brown,Absent,Absent,absent,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,lt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,Absent,lt_norm
85,brown_stem_rot,upper_areas,dna,same_lst_sev_yrs,Setembro,Absent,Absent,Absent,Norm,80_89%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Absent,norm
86,brown_stem_rot,whole_field,dna,same_lst_sev_yrs,Agosto,Absent,Absent,Absent,Norm,90_100%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,norm
87,brown_stem_rot,upper_areas,dna,same_lst_sev_yrs,Agosto,Absent,Absent,Absent,Norm,lt_80%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Absent,norm
88,brown_stem_rot,upper_areas,dna,same_1st_yr,Agosto,Absent,Absent,Absent,Norm,lt_80%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Absent,norm
89,brown_stem_rot,upper_areas,dna,same_1st_yr,Agosto,Absent,Absent,Absent,Norm,90_100%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Absent,norm
90,brown_stem_rot,upper_areas,dna,same_lst_sev_yrs,Julho,Absent,Absent,Absent,Norm,90_100%,Yes,Brown,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Absent,norm
91,powdery_mildew,whole_field,dna,same_lst_sev_yrs,Setembro,Absent,Absent,Absent,Norm,80_89%,No,None,Absent,Upper_surf,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,norm
92,powdery_mildew,scattered,dna,diff_1st_year,Outubro,Absent,Absent,Absent,Norm,lt_80%,No,None,Absent,Upper_surf,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,Normal,Norm,Absent,Norm,Absent,Norm,fungicida,Minor,Absent,Norm,Absent,lt_norm
93,powdery_mildew,whole_field,dna,same_lst_sev_yrs,Maio,Absent,Absent,Absent,Norm,90_100%,Yes,None,Absent,Upper_surf,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,lt_normal,lt_normal,Norm,Absent,Norm,Absent,Norm,Outros,pot_severe,Absent,Norm,Absent,norm
94,powdery_mildew,upper_areas,dna,same_lst_two_yrs,Outubro,Absent,Absent,Absent,Norm,lt_80%,Yes,None,Absent,Upper_surf,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,lt_normal,Normal,Norm,Absent,Norm,Absent,Norm,fungicida,Minor,Absent,Norm,Absent,lt_norm
95,powdery_mildew,upper_areas,dna,same_lst_two_yrs,Agosto,Absent,Absent,Absent,Norm,90_100%,Yes,None,Absent,Upper_surf,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,lt_normal,Normal,Norm,Absent,Norm,Absent,Norm,Outros,Minor,Absent,Norm,Absent,lt_norm
96,powdery_mildew,low_areas,dna,same_1st_yr,Outubro,Absent,Absent,Absent,Norm,lt_80%,No,None,Absent,Upper_surf,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,Normal,lt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,norm
97,powdery_mildew,upper_areas,dna,same_lst_two_yrs,Junho,Absent,Absent,Absent,Norm,80_89%,Yes,None,Absent,Upper_surf,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,lt_normal,Normal,Norm,Absent,Norm,Absent,Norm,none,Minor,Absent,Norm,Absent,lt_norm
98,powdery_mildew,low_areas,dna,same_1st_yr,Outubro,Absent,Absent,Absent,Norm,lt_80%,Yes,None,Absent,Upper_surf,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,lt_normal,lt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Norm,Absent,norm
99,powdery_mildew,low_areas,dna,same_1st_yr,Setembro,Absent,Absent,Absent,Norm,80_89%,Yes,None,Absent,Upper_surf,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,lt_normal,lt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,norm
100,powdery_mildew,low_areas,dna,same_1st_yr,Maio,Absent,Absent,Absent,Norm,90_100%,Yes,None,Absent,Upper_surf,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Norm,lt_normal,lt_normal,Norm,Absent,Norm,Absent,Norm,Outros,pot_severe,Absent,Norm,Absent,norm
101,downy_mildew,low_areas,dna,same_lst_two_yrs,Outubro,Absent,Absent,Absent,Norm,lt_80%,No,None,Present,Lower_surf,absent,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Present,Absent,Norm,Normal,gt_normal,Norm,Absent,Abnorm,Absent,Norm,fungicida,Minor,Absent,Norm,Absent,lt_norm
102,downy_mildew,low_areas,dna,same_1st_yr,Junho,Absent,Absent,Absent,Norm,lt_80%,No,None,Present,Lower_surf,absent,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Present,Absent,Norm,Normal,gt_normal,Norm,Absent,Abnorm,Absent,Norm,fungicida,pot_severe,Absent,Norm,Absent,norm
103,downy_mildew,upper_areas,dna,same_lst_sev_yrs,Maio,Absent,Absent,Absent,Norm,80_89%,No,None,Absent,Lower_surf,absent,yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Present,Absent,Norm,Normal,gt_normal,Norm,Absent,Abnorm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,norm
104,downy_mildew,upper_areas,dna,same_lst_two_yrs,Agosto,Absent,Absent,Absent,Norm,80_89%,Yes,None,Present,Lower_surf,absent,yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Present,Absent,Norm,lt_normal,gt_normal,Norm,Absent,Abnorm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,gt_norm
105,downy_mildew,scattered,dna,diff_1st_year,Maio,Absent,Absent,Absent,Norm,80_89%,No,None,Absent,Lower_surf,absent,yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Present,Absent,Norm,Normal,gt_normal,Norm,Absent,Abnorm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,lt_norm
106,downy_mildew,scattered,dna,same_lst_sev_yrs,Junho,Absent,Absent,Absent,Norm,80_89%,Yes,None,Absent,Lower_surf,absent,yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Present,Absent,Norm,lt_normal,gt_normal,Norm,Absent,Abnorm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,lt_norm
107,downy_mildew,scattered,dna,same_lst_two_yrs,Junho,Absent,Absent,Absent,Norm,80_89%,Yes,None,Absent,Lower_surf,absent,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Present,Absent,Norm,lt_normal,gt_normal,Norm,Absent,Abnorm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,norm
108,downy_mildew,low_areas,dna,same_lst_two_yrs,Agosto,Absent,Absent,Absent,Norm,lt_80%,Yes,None,Absent,Lower_surf,absent,yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Present,Absent,Norm,lt_normal,gt_normal,Norm,Absent,Abnorm,Absent,Norm,fungicida,Minor,Absent,Norm,Absent,gt_norm
109,downy_mildew,upper_areas,dna,same_1st_yr,Agosto,Absent,Absent,Absent,Norm,80_89%,Yes,None,Absent,Lower_surf,absent,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Present,Absent,Norm,lt_normal,gt_normal,Norm,Absent,Abnorm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,lt_norm
110,downy_mildew,upper_areas,dna,same_lst_sev_yrs,Setembro,Absent,Absent,Absent,Norm,80_89%,Yes,None,Absent,Lower_surf,absent,yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Present,Absent,Norm,lt_normal,gt_normal,Norm,Absent,Abnorm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,norm
111,brown_spot,whole_field,dna,same_lst_sev_yrs,Maio,Absent,Absent,Absent,Norm,lt_80%,No,None,Absent,Absent,absent,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,gt_norm
112,brown_spot,whole_field,dna,same_lst_two_yrs,Junho,Absent,Absent,Absent,Norm,80_89%,Yes,None,Absent,Absent,absent,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Norm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Norm,Absent,norm
113,brown_spot,whole_field,dna,same_lst_two_yrs,Junho,Absent,Absent,Absent,Norm,90_100%,Yes,None,Absent,Absent,Present,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Norm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Norm,Absent,norm
114,brown_spot,scattered,dna,same_1st_yr,Junho,Absent,Absent,Absent,Norm,90_100%,Yes,None,Absent,Absent,Present,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Norm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,Outros,pot_severe,Absent,Norm,Absent,norm
115,brown_spot,whole_field,dna,same_lst_sev_yrs,Maio,Absent,Absent,Absent,Norm,80_89%,No,None,Absent,Absent,absent,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Abnorm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Norm,Absent,gt_norm
116,brown_spot,whole_field,dna,same_lst_two_yrs,Maio,Absent,Absent,Absent,Norm,lt_80%,Yes,None,Absent,Absent,Present,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Norm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,norm
117,brown_spot,whole_field,dna,same_lst_sev_yrs,Abril,Absent,Absent,Absent,Norm,80_89%,No,None,Absent,Absent,absent,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Norm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,Outros,pot_severe,Absent,Norm,Absent,gt_norm
118,brown_spot,whole_field,dna,same_lst_two_yrs,Junho,Absent,Absent,Absent,Norm,90_100%,Yes,None,Absent,Absent,Present,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Norm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,norm
119,brown_spot,whole_field,dna,same_lst_two_yrs,Maio,Absent,Absent,Absent,Norm,80_89%,Yes,None,Absent,Absent,Present,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Norm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Norm,Absent,norm
120,brown_spot,whole_field,dna,same_lst_sev_yrs,Junho,Absent,Absent,Absent,Norm,lt_80%,Yes,None,Absent,Absent,Present,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Norm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Norm,Absent,norm
121,brown_spot,upper_areas,Brown,same_lst_two_yrs,Setembro,Absent,Absent,Present,Norm,80_89%,Yes,None,Absent,Absent,absent,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Norm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Above_sec_nde,norm
122,brown_spot,whole_field,dna,same_lst_sev_yrs,Maio,Absent,Absent,Absent,Norm,lt_80%,Yes,None,Absent,Absent,Present,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Norm,lt_normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Norm,Absent,norm
123,brown_spot,whole_field,dna,same_lst_sev_yrs,Maio,Absent,Absent,Absent,Norm,90_100%,Yes,None,Absent,Absent,Present,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Norm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,Outros,pot_severe,Absent,Norm,Absent,norm
124,brown_spot,whole_field,Brown,same_1st_yr,Agosto,Absent,Absent,Present,Norm,90_100%,Yes,None,Absent,Absent,Present,no_yellow_halos,gt_1/8,w_s_marg,Abnorm,Yes,Absent,Absent,Norm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Above_sec_nde,norm
